,location_id,operator_id,device_id,epc_header,epc_company,epc_product,epc_lot,epc_manufacture,epc_serial,hour
location_id,1.0,1.0,1.0,,0.017444055032009086,0.048020727726726005,0.24989104993429806,,-0.3294110586027634,-0.05835156435992792
operator_id,1.0,1.0,1.0,,0.017444055032009086,0.048020727726726005,0.24989104993429806,,-0.3294110586027634,-0.05835156435992792
device_id,1.0,1.0,1.0,,0.017444055032009086,0.048020727726726005,0.24989104993429806,,-0.3294110586027634,-0.05835156435992792
epc_header,,,,,,,,,,
epc_company,0.017444055032009086,0.017444055032009086,0.017444055032009086,,1.0,-0.4730441126841411,0.009715686051546924,,-0.02980532646837302,-0.04692637703829687
epc_product,0.048020727726726005,0.048020727726726005,0.048020727726726005,,-0.4730441126841411,1.0,0.048750402062382216,,-0.07189887082953544,0.003485622058489088
epc_lot,0.24989104993429806,0.24989104993429806,0.24989104993429806,,0.009715686051546924,0.048750402062382216,1.0,,-0.46034156183602254,-0.1018887775093179
epc_manufacture,,,,,,,,,,
epc_serial,-0.3294110586027634,-0.3294110586027634,-0.3294110586027634,,-0.02980532646837302,-0.07189887082953544,-0.46034156183602254,,1.0,0.2604420816491612
hour,-0.05835156435992792,-0.05835156435992792,-0.05835156435992792,,-0.04692637703829687,0.003485622058489088,-0.1018887775093179,,0.2604420816491612,1.0
